Product Name,Current Price,Original Price,Rating,Number of Reviews,Top Rated,Best Seller,Clearance,New,Color
"Timberland Kids' Grade School Mt. Maddsen Hiking Boots, Boys', Low Top, Non-Slip",$109.99,,4.5,72,True,False,False,False,NO COLOR
Salomon Women's X Ultra 360 Hiking Shoes,$189.99,,4.4,12,True,False,False,False,PURPLE
Scarpa Women's Mescalito Trek MID GORE-TEX Hiking Boots,$399.00,,0.0,0,False,False,False,False,DK GRAY
Helly Hansen Women's Cascade Mid Lightweight Waterproof Hiking Shoes,$84.88,$106.97,5.0,1,False,False,True,False,TERRAZZO
Helly Hansen Men's Switchback HT Waterproof Hiking Shoes,$82.88,$111.97,4.5,41,True,False,True,False,BLACK -- 990
adidas Men's Terrex Free Hiker Primeblue Hiking Boots,$280.00,,4.7,255,True,False,False,False,CBLACK/GRETHR/BLURUS
adidas Men's Terrex RAIN.DRY Hiking Shoes,$129.99,,4.7,89,True,False,False,False,BLACK/BLACK/GREY
Merrell Men's Crosslander 3 Mid Hiking Shoes,$174.99,,4.5,2,False,False,False,False,BLACK
Salomon Men's X Ultra Pioneer Mid CSWP Hiking Shoes,$189.99,,4.3,97,True,False,False,False,BLACK/MAGNET/MON
Merrell Women's MQM 3 Mid GORE-TEX Hiking Shoes,$219.99,,4.6,73,True,False,False,False,SEDONA/HERB
KEEN Women's Targhee III Mid Hiking Shoes,$219.99,,3.9,30,False,False,False,False,BROWN
Teva Women's Grandview GTX Hiking Boots,$260.00,,4.5,138,True,False,False,False,THYME
Hydroflask Medium Bottle Boot,$17.95,,4.5,349,True,True,False,False,
KEEN Men's Targhee IV Mid Hiking Shoes,$219.99,,4.4,115,True,False,False,False,BISON/BRINDLE
Merrell Women's Moab Speed 2 Mid GORE-TEX Hiking Boots,$229.99,,4.9,16,True,False,False,False,BLACK
Merrell Women's Moab Speed 2 Mid GORE-TEX Hiking Boots,$229.99,,4.9,16,True,False,False,False,PEACH
Merrell Women's Antora 3 Mid Waterproof Hiking Boots,$199.99,,4.6,54,True,False,False,False,SEA
Columbia Youth Newton Ridge Amped Lightweight Hiking Boots,$65.97,$81.97,4.2,6,False,False,True,False,ELK/MOUNTAIN RED
Salomon Men's X Ultra 360 Mid CSWP Waterproof All Terrain Hiking Shoes,$189.99,,4.4,19,True,False,False,False,MAGNET/BLACK
Salomon Men's X Ultra 360 Mid CSWP Waterproof All Terrain Hiking Shoes,$189.99,,4.4,19,True,False,False,False,PEWTER/BLACK
Woods Infant Boys' Blakiston Fleece Booties,$20.00,,0.0,0,False,False,False,False,DECO ROSE
DC Men's Woodland Leather Insulated Sherpa-Lined Winter Boots,$74.97,$92.97,4.0,5,False,True,True,False,BLACK
DC Men's Woodland Leather Insulated Sherpa-Lined Winter Boots,$74.97,$92.97,4.0,5,False,True,True,False,BROWN
"Atmosphere Outdoor Shoe Laces, 60 Inch, Hiking Shoes, Boots",$3.99,,0.0,0,False,True,False,False,21633
"Atmosphere Outdoor Shoe Laces, 60 Inch, Hiking Shoes, Boots",$3.99,,0.0,0,False,True,False,False,21634
"Atmosphere Outdoor Shoe Laces, 60 Inch, Hiking Shoes, Boots",$3.99,,0.0,0,False,True,False,False,21635
"Atmosphere Outdoor Shoe Laces, 60 Inch, Hiking Shoes, Boots",$3.99,,0.0,0,False,True,False,False,21636
Timberland Men's Davis Square Chukka Boots,$99.99,,4.6,230,True,False,False,False,LT BROWN
Merrell Men's Crosslander 3 Hiking Shoes,$129.99,,4.2,6,False,False,False,False,BOULDER/BRINDLE
SOREL Women's Winter Carnival Lace-Up Winter Boots,$118.97,$170.00,4.0,445,False,False,True,False,NO COLOR
Helly Hansen Men's Garibaldi Insulated Waterproof Winter Boots,$189.99,,0.0,0,False,False,False,False,DK BROWN
Ruffwear Polar Trex™ Weatherproof Boots for Dogs,$53.95,,0.0,0,False,False,False,False,BLACK
SOREL Women's Tivoli IV Tall Winter Boots,$164.97,$220.00,4.1,419,True,False,True,False,BLACK
The North Face Women's Thermoball Lace-Up  Waterproof Insulated Winter Boots,$179.99,,4.4,138,True,False,False,False,BLACK/WHITE
The North Face Women's Thermoball Lace-Up  Waterproof Insulated Winter Boots,$179.99,,4.4,138,True,False,False,False,LT BROWN
Woods Men's Hayward 8 Inch Insulated Waterproof IceFX Winter Boots,$189.99,,5.0,3,False,False,False,False,BLACK
Helly Hansen Women's Arctic Patrol Waterproof Primaloft Insulated Winter Boots,$118.97,$169.99,4.3,16,True,False,True,False,BLACK
Helly Hansen Women's Varanger Winter Boots,$179.99,,4.0,120,False,False,False,False,LT BROWN
Columbia Men's Bugaboot Celsius Winter Boots,$167.97,$239.99,4.3,40,True,False,True,False,BLACK
Merrell Women's Thermo 6 Winter Boots,$199.99,,4.2,676,True,False,False,False,BLACK
Columbia Men's Fairbanks Mid Waterproof Textile Hiking Shoes,$103.97,$149.99,3.9,63,False,False,True,False,GRAY
Merrell Men's Moab Adventure 3 Chelsea Polar Fleece-Lined Insulated Waterproof Winter Boots,$149.97,$214.99,4.0,6,False,False,True,False,BLACK
Bogs Kids' Neo Classic Waterproof Lightweight Non-Slip Winter Boots,$115.00,,4.8,186,True,False,False,False,BLACK
Helly Hansen Men's Gamvik Winter Boots,$109.98,$149.99,3.7,78,False,False,False,False,BLACK -- 990
Columbia Kids' Grade/Pre-School Powderbug Snowlite Winter Boots,$79.99,,0.0,0,False,False,False,False,BLACK
SOREL Men's 1964 PAC Nylon Insulated Waterproof Winter Boots,$126.97,$170.00,4.3,554,True,False,True,False,NO COLOR
The North Face Women’s ThermoBall Progressive Zip II Waterproof Insulated Lightweight Winter Boots,$174.99,,4.2,166,True,False,False,False,BLACK/WHITE
Sorel Kids' Flurry Winter Boots,$85.00,,4.5,192,True,False,False,False,BLACK/CITY GRAY
Merrell Women's Thermo Aurora 2 Waterproof  Winter Boots,$78.88,,4.1,86,True,False,True,False,SEAL BROWN
Columbia Kids' Youth Bugaboot Celsius Waterproof Insulated Winter Boots,$109.99,,4.2,24,True,False,False,False,GRAY
Columbia Men's Telluron Omniheat II Winter Boots,$159.99,,4.5,323,True,False,False,False,BLACK
Columbia Women's Minx Shorty III Suede Waterproof Insulated Winter Boots,$100.97,$144.99,4.5,637,True,False,True,False,BLACK/PEBBLE
Bogs Kids' Pre-School Neo Classic Waterproof Insulated Non-Slip Winter Boots,$115.00,,4.8,117,True,False,False,False,SPARKLE SPACE
KEDS Women's Cooper Zip Boots - Black,$49.88,$99.99,3.7,108,False,False,True,False,BLACK
Sorel Kids' Youth Flurry Print Waterproof Insulated Winter Boots,$90.00,,2.6,5,False,False,False,False,BLK/POLKA DOT
